"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1017.8","1021.4","17.8","10.0","60","3.7","100","10.4","100","0.0","0.0","--","0.00","--","0","--"
"02","1017.4","1021.0","17.7","9.6","59","2.8","100","9.0","100","0.0","0.0","--","0.00","--","0","--"
"03","1017.6","1021.2","17.8","9.7","59","2.3","90","9.2","80","0.0","0.0","--","0.00","--","0","--"
"04","1017.9","1021.5","17.8","10.2","61","2.7","110","8.5","90","0.0","0.0","--","0.00","--","0","--"
"05","1018.0","1021.6","17.7","9.9","60","3.6","100","8.5","150","0.0","0.0","--","0.00","--","0","--"
"06","1018.7","1022.3","17.6","9.5","59","2.3","90","8.3","80","0.0","0.0","0.0","0.00","--","0","--"
"07","1019.1","1022.7","17.4","9.1","58","2.3","100","8.2","90","0.0","0.0","0.0","0.04","--","0","--"
"08","1019.5","1023.1","17.9","9.5","58","2.6","100","9.1","110","0.0","0.0","0.4","0.48","40.0","0","3.0"
"09","1019.9","1023.5","18.5","9.3","55","2.9","100","11.0","90","0.0","0.0","1.0","1.27","45.0","3","2.0"
"10","1019.7","1023.3","19.7","8.7","49","2.9","70","9.0","100","0.0","0.0","0.9","1.72","--","4","--"
"11","1019.1","1022.7","19.9","8.0","46","4.0","100","9.6","80","0.0","0.0","1.0","2.37","35.0","6","2.0"
"12","1018.3","1021.9","19.8","8.5","48","3.0","60","9.7","50","0.0","0.0","1.0","2.48","--","7","--"
"13","1016.7","1020.3","20.0","8.4","47","4.1","100","9.8","90","0.0","0.0","1.0","2.51","--","6","--"
"14","1016.2","1019.8","20.1","8.8","48","3.9","50","11.7","120","0.0","0.0","1.0","2.12","35.0","5","3.0"
"15","1016.5","1020.1","19.6","8.3","48","3.2","70","9.9","80","0.0","0.0","1.0","1.53","--","3","--"
"16","1017.1","1020.7","18.6","8.9","53","2.9","110","9.4","80","0.0","0.0","1.0","0.92","--","1","--"
"17","1017.7","1021.3","18.1","8.1","52","2.3","90","9.8","110","0.0","0.0","0.7","0.23","45.0","0","2.0"
"18","1018.0","1021.6","17.7","8.8","56","3.0","110","8.4","110","0.0","0.0","0.0","0.00","--","0","--"
"19","1018.5","1022.1","17.5","8.9","57","2.8","100","7.0","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1018.8","1022.4","17.2","8.6","57","2.6","130","6.1","130","0.0","0.0","--","0.00","--","0","--"
"21","1019.0","1022.6","17.3","8.7","57","2.8","110","6.4","110","0.0","0.0","--","0.00","--","0","--"
"22","1018.7","1022.3","17.0","9.0","59","2.5","120","6.1","100","0.0","0.0","--","0.00","--","0","--"
"23","1018.2","1021.8","16.9","9.1","60","2.2","100","6.0","90","0.0","0.0","--","0.00","--","0","--"
"24","1017.9","1021.5","16.9","9.1","60","2.5","120","6.8","120","0.0","0.0","--","0.00","--","0","--"
