測站,日期,AQI,空氣品質指標,O3,PM2.5,PM10,CO,SO2,NO2
中正站,2024-12-02 13:00,31,細懸浮微粒,45.25,11,18,0.39,0.91,5.18
中正站,2024-12-02 14:00,30,臭氧8小時,44.95,8,19,0.41,1,5.66
中正站,2024-12-02 15:00,34,臭氧8小時,43.82,5,19,0.4,0.97,6.61
中正站,2024-12-02 16:00,37,臭氧8小時,37.4,8,21,0.47,0.99,12.08
中正站,2024-12-02 17:00,38,臭氧8小時,32.99,7,18,0.57,0.93,15.26
中正站,2024-12-02 18:00,38,臭氧8小時,30.82,5,23,0.61,0.92,16.35
中正站,2024-12-02 19:00,35,臭氧8小時,26.76,6,24,0.63,0.99,21.09
中正站,2024-12-02 20:00,34,二氧化氮小時值,26.78,6,18,0.57,1.01,20.25
中正站,2024-12-02 21:00,37,二氧化氮小時值,23.15,4,27,0.62,0.92,22.2
中正站,2024-12-02 22:00,33,二氧化氮小時值,27.65,3,21,0.55,1.06,19.94
中正站,2024-12-02 23:00,27,臭氧8小時,31.34,8,27,0.5,1.18,13.88
中正站,2024-12-03 00:00,27,臭氧8小時,33.59,8,23,0.48,0.94,11.5
中正站,2024-12-03 01:00,27,臭氧8小時,36.55,4,21,0.46,1.14,8.26
中正站,2024-12-03 02:00,28,臭氧8小時,36.92,3,27,0.45,1.14,7.15
中正站,2024-12-03 03:00,29,臭氧8小時,38.18,6,21,0.39,1.13,6.4
中正站,2024-12-03 04:00,31,臭氧8小時,38.32,6,28,0.42,1.18,6.36
中正站,2024-12-03 05:00,33,臭氧8小時,39.26,8,22,0.41,1.11,6.17
中正站,2024-12-03 06:00,33,臭氧8小時,33.6,8,18,0.51,1.19,10.57
中正站,2024-12-03 07:00,34,臭氧8小時,34.28,9,23,0.59,1.3,15.04
中正站,2024-12-03 08:00,34,臭氧8小時,39.78,9,26,0.58,1.18,10.77
中正站,2024-12-03 09:00,35,臭氧8小時,40.63,9,31,0.5,1.15,10.19
中正站,2024-12-03 10:00,35,臭氧8小時,42.51,6,28,0.45,1.18,8.35
中正站,2024-12-03 11:00,36,臭氧8小時,44.07,13,33,0.46,1.95,10.39
中正站,2024-12-03 12:00,37,臭氧8小時,46.81,9,30,0.44,1.39,8.5
中正站,2024-12-03 13:00,38,臭氧8小時,45.91,10,23,0.44,1.15,8.38
中正站,2024-12-03 14:00,39,臭氧8小時,41.15,9,35,0.48,1.11,12.86
中正站,2024-12-03 15:00,39,臭氧8小時,38.99,7,36,0.49,1.09,13.79
中正站,2024-12-03 16:00,40,臭氧8小時,43.58,7,31,0.48,1.06,11.52
中正站,2024-12-03 17:00,40,臭氧8小時,40.4,7,22,0.59,0.98,13.87
中正站,2024-12-03 18:00,39,臭氧8小時,37.22,10,30,0.63,0.94,17.11
中正站,2024-12-03 19:00,39,臭氧8小時,40.18,13,30,0.56,0.94,15.59
中正站,2024-12-03 20:00,38,臭氧8小時,42.5,8,28,0.54,1.1,14.21
中正站,2024-12-03 21:00,38,臭氧8小時,45.81,6,38,0.53,1.19,13.36
中正站,2024-12-03 22:00,39,臭氧8小時,47.32,12,36,0.5,1.26,12.85
中正站,2024-12-03 23:00,40,臭氧8小時,52.84,10,35,0.43,1.03,9.31
